Discharge duration (h),Cycles per year,Category,Filter
1,1,Li-ion 40%+,PHES excluded
1,2,Li-ion 40%+,PHES excluded
1,3,Li-ion 40%+,PHES excluded
1,4,Li-ion 40%+,PHES excluded
1,5,Li-ion 40%+,PHES excluded
1,6,Li-ion 40%+,PHES excluded
1,7,Li-ion 40%+,PHES excluded
1,9,Li-ion 40%+,PHES excluded
1,10,Li-ion 40%+,PHES excluded
1,12,Li-ion 40%+,PHES excluded
1,15,Li-ion 40%+,PHES excluded
1,17,Li-ion 40%+,PHES excluded
1,20,Li-ion 40%+,PHES excluded
1,24,Li-ion 40%+,PHES excluded
1,29,Li-ion 40%+,PHES excluded
1,34,Li-ion 40%+,PHES excluded
1,40,Li-ion 40%+,PHES excluded
1,47,Li-ion 40%+,PHES excluded
1,56,Li-ion 40%+,PHES excluded
1,66,Li-ion 40%+,PHES excluded
1,78,Li-ion 40%+,PHES excluded
1,93,Li-ion 40%+,PHES excluded
1,109,Li-ion 40%+,PHES excluded
1,129,Li-ion 40%+,PHES excluded
1,153,Li-ion 40%+,PHES excluded
1,181,Li-ion 40%+,PHES excluded
1,214,Li-ion 40%+,PHES excluded
1,253,Li-ion 40%+,PHES excluded
1,299,Li-ion 40%+,PHES excluded
1,354,Li-ion 40%+,PHES excluded
1,418,Li-ion 40%+,PHES excluded
1,495,Li-ion 40%+,PHES excluded
1,585,Li-ion 40%+,PHES excluded
1,692,Li-ion 40%+,PHES excluded
1,818,Li-ion 30%,PHES excluded
1,968,Li-ion 20%,PHES excluded
1,1144,Li-ion 10%,PHES excluded
1,1353,Li-ion 10%,PHES excluded
1,1600,Li-ion 5%,PHES excluded
2,1,Li-ion 40%+,PHES excluded
2,2,Li-ion 40%+,PHES excluded
2,3,Li-ion 40%+,PHES excluded
2,4,Li-ion 40%+,PHES excluded
2,5,Li-ion 40%+,PHES excluded
2,6,Li-ion 40%+,PHES excluded
2,7,Li-ion 40%+,PHES excluded
2,9,Li-ion 40%+,PHES excluded
2,10,Li-ion 40%+,PHES excluded
2,12,Li-ion 40%+,PHES excluded
2,15,Li-ion 40%+,PHES excluded
2,17,Li-ion 40%+,PHES excluded
2,20,Li-ion 40%+,PHES excluded
2,24,Li-ion 40%+,PHES excluded
2,29,Li-ion 40%+,PHES excluded
2,34,Li-ion 40%+,PHES excluded
2,40,Li-ion 40%+,PHES excluded
2,47,Li-ion 40%+,PHES excluded
2,56,Li-ion 40%+,PHES excluded
2,66,Li-ion 40%+,PHES excluded
2,78,Li-ion 40%+,PHES excluded
2,93,Li-ion 40%+,PHES excluded
2,109,Li-ion 40%+,PHES excluded
2,129,Li-ion 40%+,PHES excluded
2,153,Li-ion 40%+,PHES excluded
2,181,Li-ion 40%+,PHES excluded
2,214,Li-ion 40%+,PHES excluded
2,253,Li-ion 40%+,PHES excluded
2,299,Li-ion 40%+,PHES excluded
2,354,Li-ion 40%+,PHES excluded
2,418,Li-ion 40%+,PHES excluded
2,495,Li-ion 40%+,PHES excluded
2,585,Li-ion 40%+,PHES excluded
2,692,Li-ion 40%+,PHES excluded
2,818,Li-ion 20%,PHES excluded
2,968,Li-ion 10%,PHES excluded
2,1144,Li-ion 10%,PHES excluded
2,1353,Li-ion 5%,PHES excluded
2,1600,on par,PHES excluded
3,1,Li-ion 40%+,PHES excluded
3,2,Li-ion 40%+,PHES excluded
3,3,Li-ion 40%+,PHES excluded
3,4,Li-ion 40%+,PHES excluded
3,5,Li-ion 40%+,PHES excluded
3,6,Li-ion 40%+,PHES excluded
3,7,Li-ion 40%+,PHES excluded
3,9,Li-ion 40%+,PHES excluded
3,10,Li-ion 40%+,PHES excluded
3,12,Li-ion 40%+,PHES excluded
3,15,Li-ion 40%+,PHES excluded
3,17,Li-ion 40%+,PHES excluded
3,20,Li-ion 40%+,PHES excluded
3,24,Li-ion 40%+,PHES excluded
3,29,Li-ion 40%+,PHES excluded
3,34,Li-ion 40%+,PHES excluded
3,40,Li-ion 40%+,PHES excluded
3,47,Li-ion 40%+,PHES excluded
3,56,Li-ion 40%+,PHES excluded
3,66,Li-ion 40%+,PHES excluded
3,78,Li-ion 40%+,PHES excluded
3,93,Li-ion 40%+,PHES excluded
3,109,Li-ion 40%+,PHES excluded
3,129,Li-ion 40%+,PHES excluded
3,153,Li-ion 40%+,PHES excluded
3,181,Li-ion 40%+,PHES excluded
3,214,Li-ion 40%+,PHES excluded
3,253,Li-ion 40%+,PHES excluded
3,299,Li-ion 40%+,PHES excluded
3,354,Li-ion 40%+,PHES excluded
3,418,Li-ion 40%+,PHES excluded
3,495,Li-ion 40%+,PHES excluded
3,585,Li-ion 30%,PHES excluded
3,692,Li-ion 20%,PHES excluded
3,818,Li-ion 10%,PHES excluded
3,968,Li-ion 5%,PHES excluded
3,1144,on par,PHES excluded
3,1353,VRFB < 5%,PHES excluded
4,1,Li-ion 40%+,PHES excluded
4,2,Li-ion 40%+,PHES excluded
4,3,Li-ion 40%+,PHES excluded
4,4,Li-ion 40%+,PHES excluded
4,5,Li-ion 40%+,PHES excluded
4,6,Li-ion 40%+,PHES excluded
4,7,Li-ion 40%+,PHES excluded
4,9,Li-ion 40%+,PHES excluded
4,10,Li-ion 40%+,PHES excluded
4,12,Li-ion 40%+,PHES excluded
4,15,Li-ion 40%+,PHES excluded
4,17,Li-ion 40%+,PHES excluded
4,20,Li-ion 40%+,PHES excluded
4,24,Li-ion 40%+,PHES excluded
4,29,Li-ion 40%+,PHES excluded
4,34,Li-ion 40%+,PHES excluded
4,40,Li-ion 40%+,PHES excluded
4,47,Li-ion 40%+,PHES excluded
4,56,Li-ion 40%+,PHES excluded
4,66,Li-ion 40%+,PHES excluded
4,78,Li-ion 40%+,PHES excluded
4,93,Li-ion 40%+,PHES excluded
4,109,Li-ion 40%+,PHES excluded
4,129,Li-ion 40%+,PHES excluded
4,153,Li-ion 40%+,PHES excluded
4,181,Li-ion 40%+,PHES excluded
4,214,Li-ion 40%+,PHES excluded
4,253,Li-ion 40%+,PHES excluded
4,299,Li-ion 40%+,PHES excluded
4,354,Li-ion 40%+,PHES excluded
4,418,Li-ion 40%+,PHES excluded
4,495,Li-ion 40%+,PHES excluded
4,585,Li-ion 30%,PHES excluded
4,692,Li-ion 10%,PHES excluded
4,818,Li-ion 5%,PHES excluded
4,968,Li-ion < 5%,PHES excluded
5,1,Li-ion 40%+,PHES excluded
5,2,Li-ion 40%+,PHES excluded
5,3,Li-ion 40%+,PHES excluded
5,4,Li-ion 40%+,PHES excluded
5,5,Li-ion 40%+,PHES excluded
5,6,Li-ion 40%+,PHES excluded
5,7,Li-ion 40%+,PHES excluded
5,9,Li-ion 40%+,PHES excluded
5,10,Li-ion 40%+,PHES excluded
5,12,Li-ion 40%+,PHES excluded
5,15,Li-ion 40%+,PHES excluded
5,17,Li-ion 40%+,PHES excluded
5,20,Li-ion 40%+,PHES excluded
5,24,Li-ion 40%+,PHES excluded
5,29,Li-ion 40%+,PHES excluded
5,34,Li-ion 40%+,PHES excluded
5,40,Li-ion 40%+,PHES excluded
5,47,Li-ion 40%+,PHES excluded
5,56,Li-ion 40%+,PHES excluded
5,66,Li-ion 40%+,PHES excluded
5,78,Li-ion 40%+,PHES excluded
5,93,Li-ion 40%+,PHES excluded
5,109,Li-ion 40%+,PHES excluded
5,129,Li-ion 40%+,PHES excluded
5,153,Li-ion 40%+,PHES excluded
5,181,Li-ion 40%+,PHES excluded
5,214,Li-ion 40%+,PHES excluded
5,253,Li-ion 40%+,PHES excluded
5,299,Li-ion 40%+,PHES excluded
5,354,Li-ion 40%+,PHES excluded
5,418,Li-ion 40%+,PHES excluded
5,495,Li-ion 30%,PHES excluded
5,585,Li-ion 20%,PHES excluded
5,692,Li-ion 10%,PHES excluded
5,818,Li-ion < 5%,PHES excluded
6,1,Li-ion 30%,PHES excluded
6,2,Li-ion 30%,PHES excluded
6,3,Li-ion 30%,PHES excluded
6,4,Li-ion 30%,PHES excluded
6,5,Li-ion 30%,PHES excluded
6,6,Li-ion 30%,PHES excluded
6,7,Li-ion 30%,PHES excluded
6,9,Li-ion 30%,PHES excluded
6,10,Li-ion 30%,PHES excluded
6,12,Li-ion 30%,PHES excluded
6,15,Li-ion 30%,PHES excluded
6,17,Li-ion 30%,PHES excluded
6,20,Li-ion 30%,PHES excluded
6,24,Li-ion 30%,PHES excluded
6,29,Li-ion 30%,PHES excluded
6,34,Li-ion 30%,PHES excluded
6,40,Li-ion 30%,PHES excluded
6,47,Li-ion 30%,PHES excluded
6,56,Li-ion 30%,PHES excluded
6,66,Li-ion 30%,PHES excluded
6,78,Li-ion 30%,PHES excluded
6,93,Li-ion 30%,PHES excluded
6,109,Li-ion 30%,PHES excluded
6,129,Li-ion 30%,PHES excluded
6,153,Li-ion 30%,PHES excluded
6,181,Li-ion 30%,PHES excluded
6,214,Li-ion 30%,PHES excluded
6,253,Li-ion 30%,PHES excluded
6,299,Li-ion 30%,PHES excluded
6,354,Li-ion 30%,PHES excluded
6,418,Li-ion 40%+,PHES excluded
6,495,Li-ion 30%,PHES excluded
6,585,Li-ion 20%,PHES excluded
6,692,Li-ion 10%,PHES excluded
7,1,Li-ion 20%,PHES excluded
7,2,Li-ion 20%,PHES excluded
7,3,Li-ion 20%,PHES excluded
7,4,Li-ion 20%,PHES excluded
7,5,Li-ion 20%,PHES excluded
7,6,Li-ion 20%,PHES excluded
7,7,Li-ion 20%,PHES excluded
7,9,Li-ion 20%,PHES excluded
7,10,Li-ion 20%,PHES excluded
7,12,Li-ion 20%,PHES excluded
7,15,Li-ion 20%,PHES excluded
7,17,Li-ion 20%,PHES excluded
7,20,Li-ion 20%,PHES excluded
7,24,Li-ion 20%,PHES excluded
7,29,Li-ion 20%,PHES excluded
7,34,Li-ion 20%,PHES excluded
7,40,Li-ion 20%,PHES excluded
7,47,Li-ion 20%,PHES excluded
7,56,Li-ion 20%,PHES excluded
7,66,Li-ion 20%,PHES excluded
7,78,Li-ion 20%,PHES excluded
7,93,Li-ion 20%,PHES excluded
7,109,Li-ion 20%,PHES excluded
7,129,Li-ion 20%,PHES excluded
7,153,Li-ion 20%,PHES excluded
7,181,Li-ion 20%,PHES excluded
7,214,Li-ion 20%,PHES excluded
7,253,Li-ion 20%,PHES excluded
7,299,Li-ion 20%,PHES excluded
7,354,Li-ion 20%,PHES excluded
7,418,Li-ion 30%,PHES excluded
7,495,Li-ion 20%,PHES excluded
7,585,Li-ion 10%,PHES excluded
8,1,Li-ion 20%,PHES excluded
8,2,Li-ion 20%,PHES excluded
8,3,Li-ion 20%,PHES excluded
8,4,Li-ion 20%,PHES excluded
8,5,Li-ion 20%,PHES excluded
8,6,Li-ion 20%,PHES excluded
8,7,Li-ion 20%,PHES excluded
8,9,Li-ion 20%,PHES excluded
8,10,Li-ion 20%,PHES excluded
8,12,Li-ion 20%,PHES excluded
8,15,Li-ion 20%,PHES excluded
8,17,Li-ion 20%,PHES excluded
